[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[84, 86]; [0.9, 0.95]: 0 / 0
[84, 86]; [0.95, 1]: 0 / 0

[86, 88]; [-1, -0.95]: 0 / 0
[86, 88]; [-0.95, -0.9]: 0 / 0
[86, 88]; [-0.9, -0.85]: 126 / 1105
[86, 88]; [-0.85, -0.8]: 249 / 2469
[86, 88]; [-0.8, -0.75]: 233 / 2327
[86, 88]; [-0.75, -0.7]: 250 / 2260
[86, 88]; [-0.7, -0.65]: 256 / 2278
[86, 88]; [-0.65, -0.6]: 241 / 2175
[86, 88]; [-0.6, -0.55]: 242 / 2023
[86, 88]; [-0.55, -0.5]: 221 / 2013
[86, 88]; [-0.5, -0.45]: 194 / 1963
[86, 88]; [-0.45, -0.4]: 215 / 1925
[86, 88]; [-0.4, -0.35]: 211 / 1873
[86, 88]; [-0.35, -0.3]: 218 / 1853
[86, 88]; [-0.3, -0.25]: 243 / 1901
[86, 88]; [-0.25, -0.2]: 239 / 1827
[86, 88]; [-0.2, -0.15]: 183 / 1916
[86, 88]; [-0.15, -0.1]: 235 / 1889
[86, 88]; [-0.1, -0.05]: 199 / 1884
[86, 88]; [-0.05, 0]: 209 / 1912
[86, 88]; [0, 0.05]: 209 / 1895
[86, 88]; [0.05, 0.1]: 221 / 1903
[86, 88]; [0.1, 0.15]: 222 / 1804
[86, 88]; [0.15, 0.2]: 208 / 1877
[86, 88]; [0.2, 0.25]: 203 / 1950
[86, 88]; [0.25, 0.3]: 207 / 1909
[86, 88]; [0.3, 0.35]: 194 / 1884
[86, 88]; [0.35, 0.4]: 206 / 1875
[86, 88]; [0.4, 0.45]: 229 / 1918
[86, 88]; [0.45, 0.5]: 214 / 1941
[86, 88]; [0.5, 0.55]: 235 / 2014
[86, 88]; [0.55, 0.6]: 226 / 2106
[86, 88]; [0.6, 0.65]: 240 / 2178
[86, 88]; [0.65, 0.7]: 239 / 2259
[86, 88]; [0.7, 0.75]: 228 / 2348
[86, 88]; [0.75, 0.8]: 222 / 2418
[86, 88]; [0.8, 0.85]: 277 / 2587
[86, 88]; [0.85, 0.9]: 107 / 1191
[86, 88]; [0.9, 0.95]: 0 / 0
[86, 88]; [0.95, 1]: 0 / 0

[88, 90]; [-1, -0.95]: 0 / 0
[88, 90]; [-0.95, -0.9]: 0 / 0
[88, 90]; [-0.9, -0.85]: 124 / 1164
[88, 90]; [-0.85, -0.8]: 220 / 2246
[88, 90]; [-0.8, -0.75]: 231 / 2077
[88, 90]; [-0.75, -0.7]: 213 / 2114
[88, 90]; [-0.7, -0.65]: 239 / 1930
[88, 90]; [-0.65, -0.6]: 203 / 1873
[88, 90]; [-0.6, -0.55]: 206 / 1859
[88, 90]; [-0.55, -0.5]: 172 / 1731
[88, 90]; [-0.5, -0.45]: 179 / 1734
[88, 90]; [-0.45, -0.4]: 160 / 1576
[88, 90]; [-0.4, -0.35]: 192 / 1673
[88, 90]; [-0.35, -0.3]: 176 / 1662
[88, 90]; [-0.3, -0.25]: 190 / 1649
[88, 90]; [-0.25, -0.2]: 180 / 1684
[88, 90]; [-0.2, -0.15]: 180 / 1611
[88, 90]; [-0.15, -0.1]: 171 / 1535
[88, 90]; [-0.1, -0.05]: 220 / 1702
[88, 90]; [-0.05, 0]: 208 / 1767
[88, 90]; [0, 0.05]: 173 / 1673
[88, 90]; [0.05, 0.1]: 194 / 1632
[88, 90]; [0.1, 0.15]: 191 / 1647
[88, 90]; [0.15, 0.2]: 181 / 1661
[88, 90]; [0.2, 0.25]: 188 / 1670
[88, 90]; [0.25, 0.3]: 176 / 1641
[88, 90]; [0.3, 0.35]: 173 / 1665
[88, 90]; [0.35, 0.4]: 179 / 1666
[88, 90]; [0.4, 0.45]: 187 / 1716
[88, 90]; [0.45, 0.5]: 188 / 1680
[88, 90]; [0.5, 0.55]: 184 / 1762
[88, 90]; [0.55, 0.6]: 179 / 1879
[88, 90]; [0.6, 0.65]: 195 / 1966
[88, 90]; [0.65, 0.7]: 219 / 2008
[88, 90]; [0.7, 0.75]: 203 / 1995
[88, 90]; [0.75, 0.8]: 208 / 2100
[88, 90]; [0.8, 0.85]: 220 / 2300
[88, 90]; [0.85, 0.9]: 107 / 1151
[88, 90]; [0.9, 0.95]: 0 / 0
[88, 90]; [0.95, 1]: 0 / 0

[90, 92]; [-1, -0.95]: 0 / 0
[90, 92]; [-0.95, -0.9]: 0 / 0
[90, 92]; [-0.9, -0.85]: 132 / 1131
[90, 92]; [-0.85, -0.8]: 176 / 1883
[90, 92]; [-0.8, -0.75]: 183 / 1771
[90, 92]; [-0.75, -0.7]: 184 / 1771
[90, 92]; [-0.7, -0.65]: 183 / 1821
[90, 92]; [-0.65, -0.6]: 168 / 1606
[90, 92]; [-0.6, -0.55]: 172 / 1627
[90, 92]; [-0.55, -0.5]: 181 / 1540
[90, 92]; [-0.5, -0.45]: 172 / 1501
[90, 92]; [-0.45, -0.4]: 146 / 1519
[90, 92]; [-0.4, -0.35]: 178 / 1490
[90, 92]; [-0.35, -0.3]: 156 / 1472
[90, 92]; [-0.3, -0.25]: 165 / 1498
[90, 92]; [-0.25, -0.2]: 158 / 1417
[90, 92]; [-0.2, -0.15]: 148 / 1448
[90, 92]; [-0.15, -0.1]: 162 / 1480
[90, 92]; [-0.1, -0.05]: 182 / 1417
[90, 92]; [-0.05, 0]: 157 / 1499
[90, 92]; [0, 0.05]: 144 / 1449
[90, 92]; [0.05, 0.1]: 150 / 1445
[90, 92]; [0.1, 0.15]: 164 / 1431
[90, 92]; [0.15, 0.2]: 194 / 1458
[90, 92]; [0.2, 0.25]: 170 / 1430
[90, 92]; [0.25, 0.3]: 157 / 1410
[90, 92]; [0.3, 0.35]: 168 / 1430
[90, 92]; [0.35, 0.4]: 186 / 1430
[90, 92]; [0.4, 0.45]: 157 / 1416
[90, 92]; [0.45, 0.5]: 168 / 1475
[90, 92]; [0.5, 0.55]: 162 / 1583
[90, 92]; [0.55, 0.6]: 188 / 1601
[90, 92]; [0.6, 0.65]: 185 / 1698
[90, 92]; [0.65, 0.7]: 187 / 1762
[90, 92]; [0.7, 0.75]: 205 / 1852
[90, 92]; [0.75, 0.8]: 200 / 1827
[90, 92]; [0.8, 0.85]: 167 / 1850
[90, 92]; [0.85, 0.9]: 112 / 1143
[90, 92]; [0.9, 0.95]: 0 / 0
[90, 92]; [0.95, 1]: 0 / 0

[92, 94]; [-1, -0.95]: 0 / 0
[92, 94]; [-0.95, -0.9]: 0 / 0
[92, 94]; [-0.9, -0.85]: 97 / 1142
[92, 94]; [-0.85, -0.8]: 158 / 1670
[92, 94]; [-0.8, -0.75]: 174 / 1616
[92, 94]; [-0.75, -0.7]: 155 / 1613
[92, 94]; [-0.7, -0.65]: 156 / 1573
