[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[35, 36]; [0.85, 0.9]: 0 / 0
[35, 36]; [0.9, 0.95]: 0 / 0
[35, 36]; [0.95, 1]: 0 / 0

[36, 37]; [-1, -0.95]: 0 / 0
[36, 37]; [-0.95, -0.9]: 0 / 0
[36, 37]; [-0.9, -0.85]: 0 / 0
[36, 37]; [-0.85, -0.8]: 0 / 0
[36, 37]; [-0.8, -0.75]: 0 / 0
[36, 37]; [-0.75, -0.7]: 1362 / 244
[36, 37]; [-0.7, -0.65]: 7707 / 1322
[36, 37]; [-0.65, -0.6]: 9955 / 1821
[36, 37]; [-0.6, -0.55]: 10218 / 1970
[36, 37]; [-0.55, -0.5]: 10196 / 1893
[36, 37]; [-0.5, -0.45]: 10191 / 1817
[36, 37]; [-0.45, -0.4]: 10391 / 1796
[36, 37]; [-0.4, -0.35]: 10157 / 1791
[36, 37]; [-0.35, -0.3]: 10229 / 1813
[36, 37]; [-0.3, -0.25]: 10306 / 1799
[36, 37]; [-0.25, -0.2]: 10403 / 1737
[36, 37]; [-0.2, -0.15]: 10486 / 1803
[36, 37]; [-0.15, -0.1]: 10426 / 1799
[36, 37]; [-0.1, -0.05]: 10249 / 1784
[36, 37]; [-0.05, 0]: 10161 / 1747
[36, 37]; [0, 0.05]: 10473 / 1860
[36, 37]; [0.05, 0.1]: 10665 / 1800
[36, 37]; [0.1, 0.15]: 10413 / 1806
[36, 37]; [0.15, 0.2]: 10485 / 1738
[36, 37]; [0.2, 0.25]: 10212 / 1756
[36, 37]; [0.25, 0.3]: 10384 / 1820
[36, 37]; [0.3, 0.35]: 10303 / 1829
[36, 37]; [0.35, 0.4]: 10434 / 1820
[36, 37]; [0.4, 0.45]: 10286 / 1804
[36, 37]; [0.45, 0.5]: 10153 / 1779
[36, 37]; [0.5, 0.55]: 10110 / 1813
[36, 37]; [0.55, 0.6]: 10214 / 1812
[36, 37]; [0.6, 0.65]: 10203 / 1876
[36, 37]; [0.65, 0.7]: 7613 / 1419
[36, 37]; [0.7, 0.75]: 1526 / 247
[36, 37]; [0.75, 0.8]: 0 / 0
[36, 37]; [0.8, 0.85]: 0 / 0
[36, 37]; [0.85, 0.9]: 0 / 0
[36, 37]; [0.9, 0.95]: 0 / 0
[36, 37]; [0.95, 1]: 0 / 0

[37, 38]; [-1, -0.95]: 0 / 0
[37, 38]; [-0.95, -0.9]: 0 / 0
[37, 38]; [-0.9, -0.85]: 0 / 0
[37, 38]; [-0.85, -0.8]: 0 / 0
[37, 38]; [-0.8, -0.75]: 0 / 0
[37, 38]; [-0.75, -0.7]: 1920 / 371
[37, 38]; [-0.7, -0.65]: 7305 / 1413
[37, 38]; [-0.65, -0.6]: 8956 / 1621
[37, 38]; [-0.6, -0.55]: 8786 / 1643
[37, 38]; [-0.55, -0.5]: 8854 / 1540
[37, 38]; [-0.5, -0.45]: 9009 / 1621
