[pTmin, pTmax]; [cosmin, cosmax]: PR entries / NP entries
[7.10365, 7.74943]; [-0.7, -0.65]: 0 / 0
[7.10365, 7.74943]; [-0.65, -0.6]: 29 / 35
[7.10365, 7.74943]; [-0.6, -0.55]: 2696 / 2685
[7.10365, 7.74943]; [-0.55, -0.5]: 11255 / 11762
[7.10365, 7.74943]; [-0.5, -0.45]: 20553 / 21212
[7.10365, 7.74943]; [-0.45, -0.4]: 24577 / 25672
[7.10365, 7.74943]; [-0.4, -0.35]: 25851 / 26755
[7.10365, 7.74943]; [-0.35, -0.3]: 25276 / 27009
[7.10365, 7.74943]; [-0.3, -0.25]: 25388 / 27175
[7.10365, 7.74943]; [-0.25, -0.2]: 25185 / 26800
[7.10365, 7.74943]; [-0.2, -0.15]: 25259 / 27150
[7.10365, 7.74943]; [-0.15, -0.1]: 25229 / 26976
[7.10365, 7.74943]; [-0.1, -0.05]: 25142 / 27021
[7.10365, 7.74943]; [-0.05, 0]: 24809 / 27244
[7.10365, 7.74943]; [0, 0.05]: 24812 / 27449
[7.10365, 7.74943]; [0.05, 0.1]: 24985 / 27064
[7.10365, 7.74943]; [0.1, 0.15]: 25050 / 27314
[7.10365, 7.74943]; [0.15, 0.2]: 25109 / 26980
[7.10365, 7.74943]; [0.2, 0.25]: 25292 / 26945
[7.10365, 7.74943]; [0.25, 0.3]: 25581 / 27068
[7.10365, 7.74943]; [0.3, 0.35]: 25729 / 27053
[7.10365, 7.74943]; [0.35, 0.4]: 25585 / 27069
[7.10365, 7.74943]; [0.4, 0.45]: 24676 / 25639
[7.10365, 7.74943]; [0.45, 0.5]: 20339 / 21082
[7.10365, 7.74943]; [0.5, 0.55]: 11211 / 11645
[7.10365, 7.74943]; [0.55, 0.6]: 2645 / 2709
[7.10365, 7.74943]; [0.6, 0.65]: 29 / 28
[7.10365, 7.74943]; [0.65, 0.7]: 0 / 0
[7.10365, 7.74943]; [0.7, 0.75]: 0 / 0
[7.10365, 7.74943]; [0.75, 0.8]: 0 / 0
[7.10365, 7.74943]; [0.8, 0.85]: 0 / 0
[7.10365, 7.74943]; [0.85, 0.9]: 0 / 0

[7.74943, 8.39522]; [-0.9, -0.85]: 0 / 0
[7.74943, 8.39522]; [-0.85, -0.8]: 0 / 0
[7.74943, 8.39522]; [-0.8, -0.75]: 0 / 0
[7.74943, 8.39522]; [-0.75, -0.7]: 0 / 0
[7.74943, 8.39522]; [-0.7, -0.65]: 0 / 0
[7.74943, 8.39522]; [-0.65, -0.6]: 615 / 651
[7.74943, 8.39522]; [-0.6, -0.55]: 5359 / 5852
[7.74943, 8.39522]; [-0.55, -0.5]: 12154 / 13392
[7.74943, 8.39522]; [-0.5, -0.45]: 15488 / 17267
[7.74943, 8.39522]; [-0.45, -0.4]: 16129 / 18089
[7.74943, 8.39522]; [-0.4, -0.35]: 15793 / 17985
[7.74943, 8.39522]; [-0.35, -0.3]: 15675 / 17864
[7.74943, 8.39522]; [-0.3, -0.25]: 15615 / 18127
[7.74943, 8.39522]; [-0.25, -0.2]: 15505 / 18067
[7.74943, 8.39522]; [-0.2, -0.15]: 15496 / 18148
[7.74943, 8.39522]; [-0.15, -0.1]: 15670 / 17958
[7.74943, 8.39522]; [-0.1, -0.05]: 15604 / 18061
[7.74943, 8.39522]; [-0.05, 0]: 15247 / 18041
[7.74943, 8.39522]; [0, 0.05]: 15227 / 18183
[7.74943, 8.39522]; [0.05, 0.1]: 15302 / 18097
[7.74943, 8.39522]; [0.1, 0.15]: 15450 / 18083
[7.74943, 8.39522]; [0.15, 0.2]: 15333 / 17682
[7.74943, 8.39522]; [0.2, 0.25]: 15778 / 18097
[7.74943, 8.39522]; [0.25, 0.3]: 15440 / 17903
[7.74943, 8.39522]; [0.3, 0.35]: 16020 / 18328
[7.74943, 8.39522]; [0.35, 0.4]: 16095 / 18175
[7.74943, 8.39522]; [0.4, 0.45]: 15938 / 17920
[7.74943, 8.39522]; [0.45, 0.5]: 15701 / 17279
[7.74943, 8.39522]; [0.5, 0.55]: 12441 / 13379
[7.74943, 8.39522]; [0.55, 0.6]: 5382 / 5969
[7.74943, 8.39522]; [0.6, 0.65]: 619 / 716
[7.74943, 8.39522]; [0.65, 0.7]: 0 / 0
[7.74943, 8.39522]; [0.7, 0.75]: 0 / 0
[7.74943, 8.39522]; [0.75, 0.8]: 0 / 0
[7.74943, 8.39522]; [0.8, 0.85]: 0 / 0
[7.74943, 8.39522]; [0.85, 0.9]: 0 / 0

[8.39522, 9.04101]; [-0.9, -0.85]: 0 / 0
[8.39522, 9.04101]; [-0.85, -0.8]: 0 / 0
[8.39522, 9.04101]; [-0.8, -0.75]: 0 / 0
[8.39522, 9.04101]; [-0.75, -0.7]: 0 / 0
[8.39522, 9.04101]; [-0.7, -0.65]: 18 / 34
[8.39522, 9.04101]; [-0.65, -0.6]: 1845 / 2002
[8.39522, 9.04101]; [-0.6, -0.55]: 6672 / 7743
[8.39522, 9.04101]; [-0.55, -0.5]: 9768 / 11314
[8.39522, 9.04101]; [-0.5, -0.45]: 10580 / 12394
[8.39522, 9.04101]; [-0.45, -0.4]: 10592 / 12385
[8.39522, 9.04101]; [-0.4, -0.35]: 10116 / 12267
[8.39522, 9.04101]; [-0.35, -0.3]: 10260 / 12484
[8.39522, 9.04101]; [-0.3, -0.25]: 10021 / 12384
[8.39522, 9.04101]; [-0.25, -0.2]: 10155 / 12318
[8.39522, 9.04101]; [-0.2, -0.15]: 10096 / 12186
[8.39522, 9.04101]; [-0.15, -0.1]: 10008 / 12222
[8.39522, 9.04101]; [-0.1, -0.05]: 9864 / 12281
[8.39522, 9.04101]; [-0.05, 0]: 9928 / 12652
[8.39522, 9.04101]; [0, 0.05]: 9871 / 12082
[8.39522, 9.04101]; [0.05, 0.1]: 9916 / 12387
[8.39522, 9.04101]; [0.1, 0.15]: 9970 / 12329
[8.39522, 9.04101]; [0.15, 0.2]: 9902 / 12261
[8.39522, 9.04101]; [0.2, 0.25]: 10152 / 12508
[8.39522, 9.04101]; [0.25, 0.3]: 10146 / 12427
[8.39522, 9.04101]; [0.3, 0.35]: 10299 / 12313
[8.39522, 9.04101]; [0.35, 0.4]: 10318 / 12505
[8.39522, 9.04101]; [0.4, 0.45]: 10464 / 12302
[8.39522, 9.04101]; [0.45, 0.5]: 10723 / 12419
[8.39522, 9.04101]; [0.5, 0.55]: 9687 / 11617
