[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[32, 33]; [0.85, 0.9]: 0 / 0
[32, 33]; [0.9, 0.95]: 0 / 0
[32, 33]; [0.95, 1]: 0 / 0

[33, 34]; [-1, -0.95]: 0 / 0
[33, 34]; [-0.95, -0.9]: 0 / 0
[33, 34]; [-0.9, -0.85]: 0 / 0
[33, 34]; [-0.85, -0.8]: 0 / 0
[33, 34]; [-0.8, -0.75]: 0 / 0
[33, 34]; [-0.75, -0.7]: 243 / 65
[33, 34]; [-0.7, -0.65]: 5325 / 1223
[33, 34]; [-0.65, -0.6]: 11387 / 2739
[33, 34]; [-0.6, -0.55]: 12337 / 2982
[33, 34]; [-0.55, -0.5]: 12219 / 2996
[33, 34]; [-0.5, -0.45]: 12036 / 3022
[33, 34]; [-0.45, -0.4]: 11942 / 2905
[33, 34]; [-0.4, -0.35]: 11915 / 2980
[33, 34]; [-0.35, -0.3]: 11696 / 2867
[33, 34]; [-0.3, -0.25]: 11506 / 2809
[33, 34]; [-0.25, -0.2]: 11597 / 2927
[33, 34]; [-0.2, -0.15]: 11560 / 2832
[33, 34]; [-0.15, -0.1]: 11527 / 2927
[33, 34]; [-0.1, -0.05]: 11542 / 3022
[33, 34]; [-0.05, 0]: 11651 / 2988
[33, 34]; [0, 0.05]: 11538 / 2943
[33, 34]; [0.05, 0.1]: 11451 / 2930
[33, 34]; [0.1, 0.15]: 11529 / 2908
[33, 34]; [0.15, 0.2]: 11603 / 2892
[33, 34]; [0.2, 0.25]: 11655 / 2981
[33, 34]; [0.25, 0.3]: 11651 / 2953
[33, 34]; [0.3, 0.35]: 11752 / 2895
[33, 34]; [0.35, 0.4]: 11909 / 3016
[33, 34]; [0.4, 0.45]: 11942 / 3024
[33, 34]; [0.45, 0.5]: 11973 / 2981
[33, 34]; [0.5, 0.55]: 12328 / 2949
[33, 34]; [0.55, 0.6]: 12186 / 3080
[33, 34]; [0.6, 0.65]: 11430 / 2767
[33, 34]; [0.65, 0.7]: 5339 / 1254
[33, 34]; [0.7, 0.75]: 285 / 65
[33, 34]; [0.75, 0.8]: 0 / 0
[33, 34]; [0.8, 0.85]: 0 / 0
[33, 34]; [0.85, 0.9]: 0 / 0
[33, 34]; [0.9, 0.95]: 0 / 0
[33, 34]; [0.95, 1]: 0 / 0

[34, 35]; [-1, -0.95]: 0 / 0
[34, 35]; [-0.95, -0.9]: 0 / 0
[34, 35]; [-0.9, -0.85]: 0 / 0
[34, 35]; [-0.85, -0.8]: 0 / 0
[34, 35]; [-0.8, -0.75]: 0 / 0
[34, 35]; [-0.75, -0.7]: 507 / 133
[34, 35]; [-0.7, -0.65]: 5884 / 1415
[34, 35]; [-0.65, -0.6]: 10317 / 2444
[34, 35]; [-0.6, -0.55]: 10655 / 2652
[34, 35]; [-0.55, -0.5]: 10297 / 2613
[34, 35]; [-0.5, -0.45]: 10207 / 2616
[34, 35]; [-0.45, -0.4]: 10116 / 2515
[34, 35]; [-0.4, -0.35]: 10054 / 2516
[34, 35]; [-0.35, -0.3]: 9997 / 2535
[34, 35]; [-0.3, -0.25]: 10004 / 2502
[34, 35]; [-0.25, -0.2]: 9782 / 2592
[34, 35]; [-0.2, -0.15]: 9856 / 2540
[34, 35]; [-0.15, -0.1]: 9860 / 2539
[34, 35]; [-0.1, -0.05]: 9833 / 2555
[34, 35]; [-0.05, 0]: 9859 / 2495
[34, 35]; [0, 0.05]: 9739 / 2409
[34, 35]; [0.05, 0.1]: 9835 / 2461
[34, 35]; [0.1, 0.15]: 9838 / 2479
[34, 35]; [0.15, 0.2]: 9772 / 2510
[34, 35]; [0.2, 0.25]: 9924 / 2548
[34, 35]; [0.25, 0.3]: 9907 / 2462
[34, 35]; [0.3, 0.35]: 10167 / 2573
[34, 35]; [0.35, 0.4]: 10167 / 2612
[34, 35]; [0.4, 0.45]: 10136 / 2597
[34, 35]; [0.45, 0.5]: 10224 / 2561
[34, 35]; [0.5, 0.55]: 10553 / 2557
[34, 35]; [0.55, 0.6]: 10454 / 2675
[34, 35]; [0.6, 0.65]: 10135 / 2543
[34, 35]; [0.65, 0.7]: 5766 / 1415
[34, 35]; [0.7, 0.75]: 532 / 118
[34, 35]; [0.75, 0.8]: 0 / 0
[34, 35]; [0.8, 0.85]: 0 / 0
