[pTmin, pTmax]; [cosmin, cosmax]: PR entries / NP entries
[33, 34]; [0.65, 0.7]: 5339 / 7458
[33, 34]; [0.7, 0.75]: 285 / 392
[33, 34]; [0.75, 0.8]: 0 / 0
[33, 34]; [0.8, 0.85]: 0 / 0
[33, 34]; [0.85, 0.9]: 0 / 0
[33, 34]; [0.9, 0.95]: 0 / 0
[33, 34]; [0.95, 1]: 0 / 0

[34, 35]; [-1, -0.95]: 0 / 0
[34, 35]; [-0.95, -0.9]: 0 / 0
[34, 35]; [-0.9, -0.85]: 0 / 0
[34, 35]; [-0.85, -0.8]: 0 / 0
[34, 35]; [-0.8, -0.75]: 0 / 0
[34, 35]; [-0.75, -0.7]: 507 / 742
[34, 35]; [-0.7, -0.65]: 5884 / 8251
[34, 35]; [-0.65, -0.6]: 10317 / 14641
[34, 35]; [-0.6, -0.55]: 10655 / 15377
[34, 35]; [-0.55, -0.5]: 10297 / 15291
[34, 35]; [-0.5, -0.45]: 10207 / 15280
[34, 35]; [-0.45, -0.4]: 10116 / 15589
[34, 35]; [-0.4, -0.35]: 10054 / 15755
[34, 35]; [-0.35, -0.3]: 9997 / 15614
[34, 35]; [-0.3, -0.25]: 10004 / 15696
[34, 35]; [-0.25, -0.2]: 9782 / 15732
[34, 35]; [-0.2, -0.15]: 9856 / 15821
[34, 35]; [-0.15, -0.1]: 9860 / 15944
[34, 35]; [-0.1, -0.05]: 9833 / 15738
[34, 35]; [-0.05, 0]: 9859 / 15708
[34, 35]; [0, 0.05]: 9739 / 15820
[34, 35]; [0.05, 0.1]: 9835 / 15822
[34, 35]; [0.1, 0.15]: 9838 / 15935
[34, 35]; [0.15, 0.2]: 9772 / 15868
[34, 35]; [0.2, 0.25]: 9924 / 15728
[34, 35]; [0.25, 0.3]: 9907 / 15661
[34, 35]; [0.3, 0.35]: 10167 / 15697
[34, 35]; [0.35, 0.4]: 10167 / 15522
[34, 35]; [0.4, 0.45]: 10136 / 15609
[34, 35]; [0.45, 0.5]: 10224 / 15419
[34, 35]; [0.5, 0.55]: 10553 / 15637
[34, 35]; [0.55, 0.6]: 10454 / 15570
[34, 35]; [0.6, 0.65]: 10135 / 14865
[34, 35]; [0.65, 0.7]: 5766 / 8273
[34, 35]; [0.7, 0.75]: 532 / 694
[34, 35]; [0.75, 0.8]: 0 / 0
[34, 35]; [0.8, 0.85]: 0 / 0
[34, 35]; [0.85, 0.9]: 0 / 0
[34, 35]; [0.9, 0.95]: 0 / 0
[34, 35]; [0.95, 1]: 0 / 0

[35, 36]; [-1, -0.95]: 0 / 0
[35, 36]; [-0.95, -0.9]: 0 / 0
[35, 36]; [-0.9, -0.85]: 0 / 0
[35, 36]; [-0.85, -0.8]: 0 / 0
[35, 36]; [-0.8, -0.75]: 0 / 0
[35, 36]; [-0.75, -0.7]: 814 / 1171
[35, 36]; [-0.7, -0.65]: 6069 / 8566
[35, 36]; [-0.65, -0.6]: 9159 / 13477
[35, 36]; [-0.6, -0.55]: 9116 / 13311
[35, 36]; [-0.55, -0.5]: 9005 / 13563
[35, 36]; [-0.5, -0.45]: 8899 / 13466
[35, 36]; [-0.45, -0.4]: 8862 / 13536
[35, 36]; [-0.4, -0.35]: 8747 / 13582
[35, 36]; [-0.35, -0.3]: 8727 / 13579
[35, 36]; [-0.3, -0.25]: 8584 / 13693
[35, 36]; [-0.25, -0.2]: 8584 / 13973
[35, 36]; [-0.2, -0.15]: 8635 / 13766
[35, 36]; [-0.15, -0.1]: 8461 / 13885
[35, 36]; [-0.1, -0.05]: 8261 / 13816
[35, 36]; [-0.05, 0]: 8492 / 13597
[35, 36]; [0, 0.05]: 8423 / 13712
